District Name,District Code,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,Free Lunch #,Free Lunch %,Reduced Lunch #,Reduced Lunch %,High Needs #,High Needs #,Economically Disadvantaged #,Economically Disadvantaged %
Lynnfield,01640000,186,8.6,58,2.7,387,17.7,233,10.8,,,,,601,27.5,,
Ma Academy for Math and Science,04680000,0,0,0,0,0,0,3,3.3,,,,,4,4.4,,
Malden,01650000,3491,57.2,1116,18.3,1074,17.4,3977,65.2,,,,,4725,76.5,,
Manchester Essex Regional,06980000,33,2.6,11,0.9,225,17.7,169,13.5,,,,,364,28.6,,
Mansfield,01670000,221,6.4,68,2,567,16.4,752,21.9,,,,,1164,33.6,,
Map Academy Charter School (District),35170000,0,0,0,0,121,54.3,145,65,,,,,178,79.8,,
Marblehead,01680000,217,8.3,122,4.7,600,22.7,361,13.9,,,,,891,33.6,,
Marblehead Community Charter Public (District),04640000,18,8,14,6.2,63,28,49,21.8,,,,,113,50.2,,
Marion,01690000,5,1.2,1,0.2,83,20.1,118,29.1,,,,,173,42,,
Marlborough,01700000,2510,54.1,1218,26.2,766,16.3,2672,57.5,,,,,3384,72.1,,
Marshfield,01710000,147,3.8,70,1.8,750,19.4,737,19.3,,,,,1282,33.2,,
Martha's Vineyard,07000000,190,26.9,62,8.8,145,20.2,309,43.8,,,,,423,58.8,,
Martha's Vineyard Charter (District),04660000,6,3.6,6,3.6,44,26.7,89,53.9,,,,,107,64.8,,
Martin Luther King Jr. Charter School of Excellence (District),04920000,112,32,88,25.1,49,14,308,88,,,,,326,93.1,,
Masconomet,07050000,18,1.1,4,0.2,321,19,172,10.5,,,,,450,26.6,,
Mashpee,01720000,158,10.8,70,4.8,226,15.3,656,45,,,,,773,52.4,,
Match Charter Public School (District),04690000,673,54.9,213,17.4,267,21.8,964,78.7,,,,,1071,87.4,,
Mattapoisett,01730000,2,0.5,1,0.2,72,16.3,113,25.9,,,,,156,35.4,,
Maynard,01740000,148,12.5,68,5.7,220,18.2,322,27.2,,,,,485,40.1,,
Medfield,01750000,91,3.6,32,1.3,331,13,223,8.8,,,,,523,20.5,,
Medford,01760000,1078,26.8,417,10.4,821,20.2,1628,40.5,,,,,2187,53.9,,
Medway,01770000,63,3,48,2.3,327,15.3,295,14,,,,,568,26.6,,
Melrose,01780000,532,14.2,201,5.4,633,16.7,603,16.1,,,,,1193,31.5,,
Mendon-Upton,07100000,122,5.7,55,2.6,366,16.9,303,14.2,,,,,633,29.2,,
Methuen,01810000,1830,28.4,858,13.3,1293,19.6,3454,53.6,,,,,4259,64.7,,
Middleborough,01820000,85,2.8,45,1.5,564,18.6,1249,41.5,,,,,1514,49.8,,
Middleton,01840000,38,5.4,21,3,118,16.6,86,12.1,,,,,201,28.3,,
Milford,01850000,1976,45.9,1131,26.2,747,17.1,2363,54.8,,,,,2876,65.9,,
Millbury,01860000,139,8.7,60,3.7,316,19.5,567,35.4,,,,,776,47.9,,
Millis,01870000,75,6.4,24,2,169,14.2,221,18.8,,,,,355,29.9,,
Milton,01890000,438,10.1,118,2.7,748,17,630,14.5,,,,,1288,29.3,,
Minuteman Regional Vocational Technical,08300000,28,4.3,2,0.3,267,40.8,150,22.9,,,,,355,54.2,,
Mohawk Trail,07170000,7,0.9,6,0.8,169,21.9,369,48.4,,,,,438,56.8,,
Monomoy Regional School District,07120000,171,9.7,75,4.3,312,17.6,702,39.8,,,,,862,48.6,,
Monson,01910000,19,2.3,5,0.6,186,21.8,353,42.1,,,,,450,52.8,,
Montachusett Regional Vocational Technical,08320000,77,5.4,9,0.6,216,15.3,522,36.9,,,,,671,47.5,,
Mount Greylock,07150000,22,1.9,17,1.5,160,13.8,303,26.3,,,,,397,34.3,,
Mystic Valley Regional Charter (District),04700000,759,47.9,34,2.1,169,10.7,511,32.2,,,,,658,41.5,,
Nahant,01960000,1,0.6,0,0,23,14,40,24.4,,,,,55,33.5,,
Nantucket,01970000,720,43.1,251,15,289,17.2,706,42.2,,,,,989,58.8,,
Narragansett,07200000,28,2,7,0.5,275,19.5,589,42.3,,,,,717,50.8,,
Nashoba,07250000,269,8.7,80,2.6,544,17.5,413,13.4,,,,,898,28.9,,
Nashoba Valley Regional Vocational Technical,08520000,22,3,3,0.4,238,32.3,237,32.2,,,,,401,54.5,,
Natick,01980000,609,11.5,182,3.4,886,16.5,714,13.5,,,,,1566,29.1,,
Nauset,06600000,79,5.8,22,1.6,276,20,456,33.4,,,,,612,44.3,,
Needham,01990000,611,11.1,177,3.2,1002,17.9,465,8.4,,,,,1532,27.4,,
Neighborhood House Charter (District),04440000,173,22.6,71,9.3,173,22.6,485,63.5,,,,,569,74.5,,
New Bedford,02010000,5278,42.2,3202,25.6,2796,22.2,10318,82.5,,,,,11181,88.7,,
New Heights Charter School of Brockton (District),35130000,153,20.6,109,14.7,69,9.3,478,64.2,,,,,552,74.2,,
New Salem-Wendell,07280000,0,0,0,0,29,22.3,58,44.6,,,,,68,52.3,,
Newburyport,02040000,138,6.4,51,2.4,452,20.7,286,13.3,,,,,664,30.4,,
Newton,02070000,3402,28.4,669,5.6,2173,18,1592,13.3,,,,,4078,33.7,,
Norfolk,02080000,49,4.8,22,2.1,182,17.6,75,7.3,,,,,258,25,,
Norfolk County Agricultural,09150000,2,0.3,2,0.3,142,24.1,140,23.8,,,,,250,42.5,,
North Adams,02090000,18,1.4,14,1.1,327,25.8,941,74.9,,,,,996,78.7,,
North Andover,02110000,524,11.7,105,2.3,868,19.1,1050,23.4,,,,,1675,36.9,,
North Attleborough,02120000,400,10.1,97,2.4,747,18.7,1000,25.2,,,,,1547,38.7,,
North Brookfield,02150000,8,1.8,5,1.1,106,23.1,239,52.6,,,,,292,63.8,,
North Middlesex,07350000,89,3,51,1.7,709,23.3,875,29.3,,,,,1353,44.5,,
North Reading,02170000,48,2.1,13,0.6,441,18.8,284,12.2,,,,,647,27.6,,
Northampton,02100000,268,10.2,146,5.6,586,22.2,822,31.4,,,,,1134,43,,
Northampton-Smith Vocational Agricultural,04060000,24,4.4,20,3.7,220,40.2,227,41.5,,,,,347,63.4,,
Northboro-Southboro,07300000,193,15.2,27,2.1,200,15.7,160,12.6,,,,,336,26.3,,
Northborough,02130000,325,21,80,5.2,330,21,307,19.8,,,,,601,38.3,,
Northbridge,02140000,97,4.9,44,2.2,382,19.1,797,40.4,,,,,999,50,,
Northeast Metropolitan Regional Vocational Technical,08530000,247,18.9,47,3.6,327,25,684,52.3,,,,,874,66.9,,
Northern Berkshire Regional Vocational Technical,08510000,0,0,0,0,77,14.7,232,44.4,,,,,268,51.2,,
Norton,02180000,69,2.9,51,2.1,522,21.7,649,27.3,,,,,983,40.9,,
Norwell,02190000,41,1.9,9,0.4,356,16.1,136,6.2,,,,,464,21,,
Norwood,02200000,926,26.9,439,12.7,781,22.3,1381,40.1,,,,,1945,55.6,,
Oak Bluffs,02210000,135,31.6,93,21.8,95,22.1,193,45.2,,,,,268,62.5,,
Old Colony Regional Vocational Technical,08550000,0,0,0,0,122,21.7,152,27,,,,,232,41.2,,
Old Rochester,07400000,19,1.7,2,0.2,160,14.7,235,21.6,,,,,336,30.9,,
Old Sturbridge Academy Charter Public School (District),35150000,17,5.3,12,3.8,63,19.7,140,43.8,,,,,178,55.6,,
Orange,02230000,9,1.7,8,1.5,141,26.1,401,74.8,,,,,431,79.7,,
Orleans,02240000,13,7.9,9,5.5,29,17.7,75,45.7,,,,,89,54.3,,
Oxford,02260000,38,2.6,28,1.9,294,19.8,666,45.4,,,,,790,53.1,,
Palmer,02270000,74,6.2,54,4.6,243,20.2,697,58.8,,,,,782,65.1,,
Pathfinder Regional Vocational Technical,08600000,1,0.2,1,0.2,173,27.5,289,45.9,,,,,379,60.3,,
Paulo Freire Social Justice Charter School (District),35010000,62,25.5,12,4.9,50,20.6,220,90.5,,,,,224,92.2,,
Peabody,02290000,1080,18.4,577,9.8,1223,20.5,2724,46.3,,,,,3497,58.5,,
Pelham,02300000,9,7.7,2,1.7,20,17.1,19,16.2,,,,,37,31.6,,
Pembroke,02310000,74,2.9,46,1.8,436,16.8,478,18.7,,,,,824,31.8,,
Pentucket,07450000,22,1,7,0.3,509,22.8,357,16.2,,,,,735,32.9,,
Petersham,02340000,2,1.8,1,0.9,23,20.2,44,38.9,,,,,57,50,,
Phoenix Academy Charter Public High School Chelsea (District),04930000,146,78.9,117,63.2,20,10.8,164,88.6,,,,,179,96.8,,
Phoenix Academy Public Charter High School Lawrence (District),35180000,81,58.7,33,23.9,38,27.5,126,91.3,,,,,134,97.1,,
Phoenix Academy Public Charter High School Springfield (District),35080000,46,26.3,25,14.3,43,24.6,157,89.7,,,,,161,92,,
Pioneer Charter School of Science (District),04940000,496,64,163,21,64,8.3,461,59.5,,,,,586,75.6,,
Pioneer Charter School of Science II (District),35060000,170,45.2,45,12,46,12.2,187,49.7,,,,,247,65.7,,
Pioneer Valley,07500000,14,2.1,8,1.2,121,18.3,248,37.7,,,,,309,46.7,,
Pioneer Valley Chinese Immersion Charter (District),04970000,120,21,11,1.9,67,11.7,152,26.6,,,,,212,37.1,,
Pioneer Valley Performing Arts Charter Public (District),04790000,0,0,0,0,88,22,163,40.8,,,,,197,49.3,,
Pittsfield,02360000,454,9.2,278,5.6,1068,21.4,3343,67.5,,,,,3643,72.8,,
Plainville,02380000,37,5.6,27,4.1,140,21.1,193,29.4,,,,,288,43.5,,
Plymouth,02390000,420,5.8,259,3.6,1532,21.1,2470,34.3,,,,,3384,46.5,,
Plympton,02400000,6,2.5,5,2.1,38,15.5,59,24.5,,,,,86,35.1,,
Prospect Hill Academy Charter (District),04870000,484,44.2,181,16.5,168,15.3,729,66.5,,,,,842,76.8,,
Provincetown,02420000,35,24.8,24,17,28,19.9,78,55.3,,,,,95,67.4,,
Quabbin,07530000,31,1.4,9,0.4,451,20,861,38.7,,,,,1075,47.7,,
Quaboag Regional,07780000,41,3.6,18,1.6,231,20.1,564,49.4,,,,,656,56.9,,
Quincy,02430000,4182,44.5,1434,15.2,1882,19.7,4723,50.2,,,,,6366,66.7,,
Ralph C Mahar,07550000,9,1.6,3,0.5,149,25.9,320,57.5,,,,,370,64.2,,
Randolph,02440000,981,38.2,423,16.5,568,21.7,1683,65.5,,,,,2039,77.9,,
Reading,02460000,106,2.8,41,1.1,734,18.8,445,11.6,,,,,1049,26.9,,
Revere,02480000,4792,67.1,1755,24.6,1240,17,5049,70.7,,,,,5907,81.1,,
Richmond,02490000,1,0.6,0,0,29,18.5,54,34.4,,,,,72,45.9,,
Rising Tide Charter Public (District),04830000,18,2.7,9,1.4,143,21.8,155,23.7,,,,,259,39.5,,
River Valley Charter (District),04820000,1,0.3,0,0,40,13.9,28,9.7,,,,,61,21.2,,
Rochester,02500000,3,0.6,3,0.6,94,18,122,23.6,,,,,183,35.1,,
Rockland,02510000,336,15.9,188,8.9,386,18,1016,48,,,,,1229,57.2,,
Rockport,02520000,15,2,5,0.7,165,21.6,213,28.5,,,,,335,43.8,,
Rowe,02530000,0,0,0,0,23,35.4,37,56.9,,,,,46,70.8,,
Roxbury Preparatory Charter (District),04840000,593,39,248,16.3,248,16.3,1220,80.2,,,,,1338,88,,
Salem,02580000,1205,32.9,550,15,730,19.7,2313,63.1,,,,,2653,71.6,,
Salem Academy Charter (District),04850000,125,25.3,14,2.8,86,17.4,267,53.9,,,,,299,60.4,,
Sandwich,02610000,60,2.6,31,1.4,452,19.5,593,25.9,,,,,897,38.7,,
Saugus,02620000,565,23.2,207,8.5,391,15.8,1142,46.9,,,,,1433,58,,
Savoy,02630000,0,0,0,0,9,17.6,27,52.9,,,,,32,62.7,,
Scituate,02640000,71,2.6,12,0.4,468,16.7,356,12.8,,,,,741,26.4,,
Seekonk,02650000,148,7.1,44,2.1,382,18.1,408,19.7,,,,,725,34.4,,
Sharon,02660000,919,26,108,3.1,555,15.5,457,12.9,,,,,1053,29.4,,
Shawsheen Valley Regional Vocational Technical,08710000,21,1.6,0,0,363,27.6,295,22.4,,,,,554,42.1,,
Sherborn,02690000,25,6.2,8,2,57,14.1,24,6,,,,,83,20.5,,
Shrewsbury,02710000,2160,36.7,159,2.7,865,14.6,1062,18,,,,,1891,31.9,,
Shutesbury,02720000,2,1.7,2,1.7,26,22.6,35,30.4,,,,,47,40.9,,
Silver Lake,07600000,37,2.2,20,1.2,307,18.2,415,24.5,,,,,616,36.4,,
Sizer School: A North Central Charter Essential (District),04740000,11,3.1,8,2.3,99,28.3,186,53.1,,,,,221,63.1,,
Somerset,02730000,52,3.2,14,0.9,304,18.3,563,34.2,,,,,734,44.2,,
Somerset Berkley Regional School District,07630000,23,2.3,2,0.2,171,16.9,251,25.2,,,,,352,34.8,,
Somerville,02740000,2322,49.7,975,20.9,934,19.7,2497,53.4,,,,,3039,64.2,,
South Hadley,02780000,140,7.9,78,4.4,318,17.8,640,36.3,,,,,845,47.4,,
South Middlesex Regional Vocational Technical,08290000,326,38.4,140,16.5,321,37.8,507,59.6,,,,,685,80.6,,
South Shore Charter Public (District),04880000,456,43.4,112,10.7,211,20.1,391,37.2,,,,,627,59.7,,
South Shore Regional Vocational Technical,08730000,9,1.4,2,0.3,181,27.6,211,32.2,,,,,333,50.8,,
Southampton,02750000,11,2.4,9,1.9,130,27.7,98,21,,,,,194,41.3,,
Southborough,02760000,258,20.7,93,7.5,197,15.7,110,8.8,,,,,373,29.7,,
Southbridge,02770000,641,35.5,352,19.5,432,23.5,1527,84.6,,,,,1655,90,,
Southeastern Regional Vocational Technical,08720000,355,22.9,63,4.1,221,14.3,724,46.7,,,,,894,57.7,,
Southern Berkshire,07650000,41,6.5,22,3.5,85,13.3,296,46.8,,,,,335,52.6,,
Southern Worcester County Regional Vocational School District,08760000,49,4.2,12,1,171,14.6,421,35.9,,,,,515,43.9,,
Southwick-Tolland-Granville Regional School District,07660000,73,5.4,47,3.5,222,16.3,498,36.6,,,,,613,44.9,,
Spencer-E Brookfield,07670000,82,5.9,51,3.7,286,20.1,702,50.3,,,,,843,59.1,,
Springfield,02810000,7083,29.8,3913,16.4,5928,24.7,20798,87.4,,,,,21723,90.6,,
Springfield International Charter (District),04410000,226,14.9,167,11,234,15.4,915,60.2,,,,,1070,70.4,,
Springfield Preparatory Charter School (District),35100000,101,23.3,70,16.2,85,19.6,334,77.1,,,,,365,84.3,,
Stoneham,02840000,275,12.3,77,3.4,465,20.4,561,25,,,,,900,39.5,,
Stoughton,02850000,679,19.5,266,7.7,595,16.9,1610,46.3,,,,,1984,56.4,,
Sturbridge,02870000,22,2.6,22,2.6,133,15.6,182,21.5,,,,,291,34.2,,
Sturgis Charter Public (District),04890000,109,12.9,9,1.1,136,16.1,211,24.9,,,,,317,37.5,,
Sudbury,02880000,215,8.5,60,2.4,477,18.9,202,8,,,,,664,26.3,,
Sunderland,02890000,22,11.7,11,5.9,37,19.5,75,39.9,,,,,98,51.6,,
Sutton,02900000,37,3.1,17,1.4,219,17.9,223,18.4,,,,,395,32.3,,
Swampscott,02910000,319,15.6,108,5.3,414,20,483,23.7,,,,,837,40.3,,
Swansea,02920000,39,1.9,8,0.4,274,13.5,616,30.6,,,,,775,38.3,,
Tantasqua,07700000,37,2.1,18,1,236,13.1,514,28.7,,,,,657,36.5,,
Taunton,02930000,984,12.7,493,6.4,1527,19.4,4673,60.2,,,,,5260,67,,
TEC Connections Academy Commonwealth Virtual School District,39020000,158,5.9,38,1.4,552,20.6,1451,54,,,,,1686,62.8,,
Tewksbury,02950000,282,8.9,108,3.4,629,19.4,732,23,,,,,1231,37.9,,
Tisbury,02960000,146,51,92,32.2,51,17.8,159,55.6,,,,,198,69.2,,
Topsfield,02980000,6,1,3,0.5,117,18.7,43,6.9,,,,,150,24,,
Tri-County Regional Vocational Technical,08780000,1,0.1,1,0.1,307,32.7,260,27.7,,,,,473,50.4,,
Triton,07730000,81,3.7,26,1.2,416,18.5,744,33.6,,,,,1003,44.6,,
Truro,03000000,2,1.8,2,1.8,20,17.9,53,47.7,,,,,65,58,,
Tyngsborough,03010000,187,11.5,92,5.7,325,19.7,402,24.8,,,,,677,41.1,,
UP Academy Charter School of Boston (District),04800000,162,51.1,80,25.2,95,30,268,84.5,,,,,287,90.5,,
UP Academy Charter School of Dorchester (District),35050000,317,48.5,242,37.1,89,13.6,549,84.1,,,,,598,91.6,,
Up-Island Regional,07740000,40,9.7,18,4.4,72,17.4,132,32,,,,,185,44.8,,
Upper Cape Cod Regional Vocational Technical,08790000,0,0,0,0,202,27.2,315,42.3,,,,,427,57.4,,
Uxbridge,03040000,82,5,31,1.9,285,17.4,482,29.6,,,,,660,40.2,,
Veritas Preparatory Charter School (District),04980000,99,26.1,20,5.3,74,19.5,331,87.1,,,,,342,90,,
Wachusett,07750000,292,4.3,131,1.9,959,14.1,1164,17.3,,,,,2002,29.5,,
Wakefield,03050000,218,6.6,85,2.6,590,17.6,606,18.3,,,,,1083,32.4,,
Wales,03060000,2,1.7,2,1.7,24,20.3,59,50,,,,,70,59.3,,
Walpole,03070000,400,10.9,152,4.1,562,15.2,620,16.9,,,,,1116,30.1,,
Waltham,03080000,2813,51.2,1325,24.1,930,16.7,2810,51.1,,,,,3497,62.9,,
Ware,03090000,34,3,13,1.2,238,21,736,65.5,,,,,793,69.8,,
Wareham,03100000,60,2.9,23,1.1,538,25.9,1375,67.3,,,,,1512,72.8,,
Watertown,03140000,1001,38.9,391,15.2,512,19.6,979,38.1,,,,,1374,52.6,,
Wayland,03150000,365,13.5,89,3.3,512,18.6,286,10.5,,,,,822,29.9,,
Webster,03160000,310,18.3,205,12.1,407,23.5,1236,72.8,,,,,1370,79.2,,
Wellesley,03170000,325,7.6,79,1.8,741,17.1,316,7.4,,,,,1114,25.6,,
Wellfleet,03180000,3,2.7,1,0.9,18,15.9,53,47.3,,,,,58,51.3,,
West Boylston,03220000,69,7.8,35,4,180,20.2,267,30.4,,,,,400,44.9,,
West Bridgewater,03230000,58,4.2,34,2.5,161,11.6,353,25.6,,,,,479,34.6,,
West Springfield,03320000,1084,28.1,375,9.7,729,18.7,2248,58.4,,,,,2543,65.4,,
Westborough,03210000,1258,32.6,356,9.2,590,15.2,602,15.6,,,,,1475,38,,
Westfield,03250000,618,12.9,268,5.6,1048,21.7,2391,50.1,,,,,2833,58.7,,
Westford,03260000,597,12.8,91,1.9,770,16.3,452,9.7,,,,,1232,26.1,,
Westhampton,03270000,0,0,0,0,24,23.3,31,30.1,,,,,45,43.7,,
Weston,03300000,177,9.1,66,3.4,329,16.7,161,8.3,,,,,537,27.2,,
Westport,03310000,37,2.6,21,1.5,269,18.7,512,35.8,,,,,673,46.7,,
Westwood,03350000,182,6.3,21,0.7,579,19.9,211,7.3,,,,,761,26.2,,
Weymouth,03360000,810,14.6,318,5.7,1240,22,2371,42.6,,,,,3106,55.1,,
Whately,03370000,6,5,5,4.1,12,9.9,31,25.6,,,,,42,34.7,,
Whitman-Hanson,07800000,163,4.6,80,2.2,597,16.6,1060,29.8,,,,,1456,40.5,,
Whittier Regional Vocational Technical,08850000,88,6.9,15,1.2,247,19.3,528,41.2,,,,,684,53.4,,
Williamsburg,03400000,2,1.4,1,0.7,21,15,49,35.5,,,,,60,42.9,,
Wilmington,03420000,115,4.1,40,1.4,484,17,456,16.3,,,,,839,29.4,,
Winchendon,03430000,39,3.2,24,2,285,23.2,717,59.5,,,,,832,67.6,,
Winchester,03440000,868,19.9,134,3.1,722,16.4,320,7.3,,,,,1160,26.3,,
Winthrop,03460000,376,20,156,8.3,295,15.6,753,40,,,,,960,50.6,,
Woburn,03470000,928,21.6,403,9.4,787,18,1730,40.3,,,,,2290,52.5,,
Worcester,03480000,13986,58.9,6708,28.3,5095,21.1,17638,74.3,,,,,20303,84.1,,
Worthington,03490000,0,0,0,0,8,11.9,26,38.8,,,,,30,44.8,,
Wrentham,03500000,50,5.4,26,2.8,171,18.5,136,14.8,,,,,291,31.5,,
State Totals,00000000,218070,23.9,100231,11,174505,18.9,399140,43.8,,,,,512242,55.6,,